Motion Through Fluids Experiment Tue, Feb 28, 2023 3:20 PM
Time(sec)	Position(mm)
0.044	0.000
0.094	0.000
0.144	0.000
0.194	0.000
0.244	0.000
0.294	0.000
0.344	0.000
0.394	0.000
0.444	0.000
0.494	0.000
0.544	0.000
0.594	0.000
0.644	0.000
0.694	0.000
0.744	0.000
0.794	0.000
0.844	0.000
0.894	0.000
0.944	0.000
0.994	0.000
1.044	0.000
1.094	0.000
1.144	0.000
1.194	0.000
1.244	0.000
1.294	0.000
1.344	0.000
1.394	0.000
1.444	0.000
1.494	0.000
1.544	0.000
1.594	0.000
1.644	0.000
1.694	0.000
1.744	0.000
1.794	0.000
1.844	0.000
1.894	0.000
1.944	0.000
1.994	0.000
2.044	0.000
2.094	0.000
2.144	0.000
2.194	0.000
2.244	0.000
2.294	0.000
2.344	0.000
2.394	0.000
2.444	0.000
2.494	0.000
2.544	0.000
2.594	0.000
2.644	0.000
2.694	0.000
2.744	0.000
2.795	0.000
2.844	0.000
2.894	0.000
2.944	0.000
2.995	0.000
3.044	0.000
3.094	0.000
3.144	0.000
3.194	0.000
3.244	0.000
3.294	0.000
3.344	0.000
3.394	0.000
3.444	0.000
3.494	0.000
3.544	0.000
3.594	0.000
3.644	0.000
3.694	0.000
3.744	0.000
3.794	0.000
3.844	0.000
3.894	0.000
3.944	0.000
3.994	0.000
4.044	0.000
4.094	0.000
4.144	0.000
4.194	0.000
4.244	0.000
4.294	0.000
4.344	0.000
4.394	0.000
4.444	0.000
4.494	0.000
4.544	0.000
4.594	0.000
4.644	0.000
4.694	0.000
4.744	0.000
4.794	0.000
4.844	0.000
4.894	0.000
4.944	0.000
4.994	0.000
5.044	0.000
5.094	0.000
5.144	0.000
5.194	0.000
5.244	0.000
5.294	0.000
5.344	0.000
5.394	0.000
5.444	0.000
5.494	0.000
5.544	0.000
5.594	0.000
5.645	0.000
5.694	0.000
5.744	0.000
5.794	0.000
5.844	0.000
5.894	0.000
5.944	0.000
5.994	0.000
6.044	0.000
6.094	0.000
6.144	0.000
6.194	0.000
6.244	0.000
6.294	0.000
6.344	0.000
6.394	0.000
6.444	0.000
6.494	0.000
6.544	0.000
6.594	0.000
6.644	0.000
6.694	0.000
6.744	0.000
6.794	0.000
6.844	0.000
6.894	0.000
6.944	0.000
6.994	0.000
7.044	0.000
7.094	0.000
7.144	0.000
7.194	0.000
7.245	0.000
7.294	0.000
7.344	0.000
7.394	0.000
7.444	0.000
7.494	0.000
7.544	0.000
7.595	0.000
7.644	0.000
7.694	0.000
7.744	0.000
7.794	0.000
7.844	0.000
7.894	0.000
